19,-19
26,-42
47,-45
-2,-33
6,-7
25,8
-7,1
32,41
-34,-41
-6,-20
10,-42
-1,-20
-49,17
25,-43
-2,21
33,45
-2,5
-48,-25
-22,12
16,-11
-33,-34
-21,43
12,27
-1,-4
29,-17
4,14
26,11
2,11
32,-3
-42,-20
-21,-8
18,35
8,30
-39,37
0,7
14,2
-7,-45
-37,-5
28,5
17,-27
-31,-19
-22,-35
-33,-30
-31,35
-47,-10
-7,30
5,-13
-40,25
-3,-7
-15,31
16,11
44,-28
18,-48
-27,21
-1,-42
32,-23
29,35
-38,48
-36,3
18,-10
11,-24
34,-39
-34,33
47,-43
45,-12
48,-14
-29,35
5,6
-14,-44
-4,-34
46,-2
-13,44
7,-34
-49,20
-25,-39
11,42
24,45
-30,-9
27,33
-43,35
-45,-33
26,-38
-40,-3
-43,44
-20,4
13,-41
-41,3
-7,-35
39,39
3,-49
32,-22
31,34
25,-44
11,-24
15,-35
29,1
48,9
-38,30
21,-25
35,-39
-41,-43
-9,20
-2,3
34,-29
2,-44
1,37
-20,-43
-46,26
-15,42
-13,-45
34,30
-21,-35
25,-38
-40,-1
-7,11
-6,15
-45,-6
41,25
36,-38
-13,-28
-29,-9
22,10
13,42
-27,42
6,-15
-4,28
37,30
-24,-22
28,-23
44,-13
-6,-13
28,41
12,35
32,36
-34,-22
40,-26
5,-35
33,-5
-41,18
0,32
39,-32
41,-42
-34,14
27,-25
-31,13
47,10
-33,49
28,33
11,31
48,27
-39,-14
26,-20
-5,-27
-26,23
46,31
-30,-40
25,-37
-2,-23
-4,21
25,47
-41,7
18,2
-20,-20
-42,5
-13,49
32,-23
20,23
21,3
-9,12
13,43
-8,-45
-22,-13
-6,37
35,-46
2,2
-11,40
-43,-49
19,2
17,-25
49,-35
-35,17
-13,46
49,43
-10,-48
-9,43
35,32
-41,31
6,-45
-19,-18
-41,-8
-5,-46
-46,34
11,41
-29,19
-45,-31
35,-34
12,-1
29,23
17,-18
-12,0
-1,33
13,8
16,5
32,-25
-6,14
-27,-13
-34,8
20,-39
14,2
-14,-42
23,19
47,-28
-41,19
-29,9
-47,33
-13,49
43,8
43,10
-9,-5
-32,-44
-40,45
-23,-10
46,0
-49,-45
27,18
-40,-35
45,-19
27,28
35,-8
0,47
-14,-27
-27,9
-21,-26
-6,7
14,-39
20,-30
-14,-19
48,27
-6,8
-24,9
19,-33
32,-16
23,-28
-46,12
31,-34
24,49
44,-30
19,36
22,16
-38,22
-44,-7
-10,17
48,39
29,14
-17,49
-15,-22
-34,41
-21,-30
-10,38
36,-43
-29,30
26,0
-14,21
-24,-34
10,-38
-44,26
-2,3
3,-23
26,-34
-14,34
-7,-11
-19,31
30,-2
33,-46
41,0
-3,33
30,-45
1,-24
16,40
-18,-23
14,13
-45,-28
44,7
29,12
-12,-48
-7,-25
2,-48
14,31
0,44
18,37
37,-27
-25,-39
14,-28
46,-7
-48,-22
9,35
33,-41
-29,28
-15,-40
37,-27
17,-29
15,40
-41,-27
-18,28
-9,20
25,22
-27,-6
-10,-8
-10,43
6,22
11,-12
11,-40
-8,6
-9,-6
31,35
-2,-9
-43,-4
-29,16
6,-15
-48,-7
40,-32
-47,-19
2,37
13,-10
19,28
-10,-9
2,-34
11,-19
9,5
-1,1
31,37
46,5
-26,-14
16,26
-26,22
34,-44
41,-35
32,-6
-15,-19
7,4
42,-49
24,-46
-4,-43
37,41
34,39
-42,-48
35,0
10,-47
-28,-2
-42,-33
-29,36
-33,47
43,-15
-1,-11
-17,-32
45,-20
48,43
8,30
-36,43
-40,-33
-1,25
42,-15
15,33
-30,-8
3,29
-27,37
-27,-8
-16,-43
34,26
-40,-38
7,-1
8,16
43,27
-47,41
41,29
39,-22
-12,40
18,-4
43,32
-17,-39
-34,-43
34,2
45,-41
-42,6
10,2
46,-13
34,48
9,49
-33,-23
-9,37
30,-22
0,24
40,45
0,-18
23,37
-37,-47
-5,49
46,0
14,-43
20,35
20,-4
-18,-11
33,3
-6,-10
-18,18
-20,17
-8,-4
-20,37
6,-39
12,-49
7,25
33,22
-9,43
42,35
-47,-41
-14,-40
5,5
-33,-15
45,-38
40,-12
2,-39
-49,-45
8,-5
11,49
19,-41
44,3
-6,20
-22,45
12,8
47,40
10,7
-12,-27
-16,-30
-38,36
-21,44
41,-5
-29,-24
-1,-2
24,29
-35,45
-17,43
-34,43
-35,31
16,34
-22,-28
22,-12
-35,49
26,44
23,27
21,-11
-16,24
20,25
-33,0
-16,-31
-27,30
-28,33
-6,-48
8,17
-7,-6
-41,2
3,-23
9,-42
-28,4
-19,-29
0,3
23,46
-41,26
12,7
-27,-9
27,15
-2,-1
12,-2
49,39
43,-37
-8,-41
1,-19
19,-31
35,-43
-34,13
3,11
-31,-36
18,19
-43,-25
25,17
-10,-49
-4,-47
15,-6
-45,-45
14,-38
-42,-17
11,-31
28,-9
-48,-6
-22,39
40,5
-7,8
36,-33
-2,-16
29,43
-9,25
-35,-24
23,-8
13,0
14,-23
-36,30
-7,-46
6,-28
-49,49
-14,-21
17,12
47,35
26,33
8,36
-34,0
46,20
-24,21
21,-17
-31,-14
-4,-13
27,2
29,-49
25,-39
-36,-11
-47,15
-34,-2
48,1
-24,28
27,-21
-1,39
33,26
-16,-35
-19,-7
5,20
-17,-25
-46,15
4,48
0,-35
33,46
-39,16
19,-30
34,0
-15,-1
22,23
-4,42
4,39
36,5
3,-49
-31,14
20,-17
5,-6
-44,27
12,0
43,-49
-49,-38
45,30
-31,32
-29,13
42,33
30,31
20,32
-25,-9
20,-36
28,48
-5,0
46,-31
-23,27
-38,-24
-35,-43
37,33
5,22
22,-15
47,23
21,-45
-15,40
-41,-14
33,38
11,23
-31,15
-42,-1
21,45
5,0
-34,26
4,-9
21,44
-1,35
45,46
-23,48
-40,40
-7,46
-7,24
13,4
-7,11
-15,-12
-33,-11
-42,-1
48,-10
-37,10
-32,-28
-30,-29
-31,-19
-16,-10
-8,-27
-10,37
12,13
13,-21
-27,-38
-43,47
-18,-49
-41,4
-7,-32
-25,-16
37,49
37,6
34,16
31,37
21,-27
27,-38
-9,-26
-36,-30
-28,-2
25,2
24,28
-23,37
-17,-35
-21,-33
-36,15
27,-48
-43,-49
2,-8
-14,33
-47,45
32,25
6,-49
-16,45
6,-41
37,38
-17,45
-7,21
8,-40
23,49
-26,20
-11,14
24,-43
-5,25
-45,-9
21,21
34,-11
-5,29
20,49
-27,-23
3,-12
7,-29
-20,-25
-17,32
9,-14
-8,-6
17,-14
9,-17
7,-32
-49,0
5,7
40,-33
-13,-34
-46,43
1,12
-48,9
36,-2
-4,36
-37,-31
-14,0
23,11
-33,19
48,-21
-45,-1
29,-38
-28,3
48,21
20,45
-3,-8
33,-36
-29,-11
-18,46
-15,32
6,-29
39,22
-29,-10
31,0
27,43
-8,-28
-32,-41
-38,5
-35,-10
-8,-2
11,-34
27,0
-10,21
-14,-28
-20,-15
-19,-30
-15,-33
22,34
8,-43
41,31
21,-2
43,26
4,-24
-26,24
-47,15
-25,41
5,36
-28,-9
-6,-10
-16,0
-45,10
-28,-7
13,-27
36,-48
-13,-22
46,-41
-1,9
26,-35
-28,-49
45,-35
-2,10
-30,13
-39,-11
13,-1
45,-18
-9,-31
23,-8
27,-39
-24,1
-36,-18
-10,-27
-12,25
19,-34
-6,46
-40,-42
-31,-6
-5,-30
-48,-5
-8,8
-17,-25
9,-12
-43,-45
36,27
-14,-43
32,16
38,20
36,14
24,-25
-27,-6
43,44
44,17
-10,37
-36,47
24,4
-10,-16
19,16
-31,39
22,-48
-33,-16
39,42
30,-13
-36,-6
-31,-2
6,29
-5,27
-28,47
14,-12
-20,42
48,-31
41,38
-47,30
16,0
46,-27
2,47
42,23
-42,39
4,-48
-36,7
3,45
19,15
-9,45
-40,12
-38,22
-48,30
9,29
-46,48
-8,-49
39,49
20,14
-2,46
45,9
36,21
